Dwelling Type,Year,Month,Region,Description,electricity_per_month,gas_per_month
1-room / 2-room,2023,1,Central Region,Bishan,123,4
1-room / 2-room,2023,1,Central Region,Bishan,123,47
1-room / 2-room,2023,1,Central Region,Bishan,11,4
1-room / 2-room,2023,1,Central Region,Bishan,11,47
1-room / 2-room,2023,1,East Region,Bedok,156,3
1-room / 2-room,2023,1,East Region,Bedok,156,39
1-room / 2-room,2023,1,East Region,Bedok,14,3
1-room / 2-room,2023,1,East Region,Bedok,14,39
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,164,3
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,164,40
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,15,3
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,15,40
1-room / 2-room,2023,1,West Region,Bukit Batok,147,2
1-room / 2-room,2023,1,West Region,Bukit Batok,147,28
1-room / 2-room,2023,1,West Region,Bukit Batok,14,2
1-room / 2-room,2023,1,West Region,Bukit Batok,14,28
1-room / 2-room,2023,2,Central Region,Bishan,109,50
1-room / 2-room,2023,2,East Region,Bedok,143,39
1-room / 2-room,2023,2,North East Region,Ang Mo Kio,162,44
1-room / 2-room,2023,2,West Region,Bukit Batok,138,29
1-room / 2-room,2023,3,Central Region,Bishan,107,37
1-room / 2-room,2023,3,East Region,Bedok,134,39
1-room / 2-room,2023,3,North East Region,Ang Mo Kio,147,41
1-room / 2-room,2023,3,West Region,Bukit Batok,130,29
1-room / 2-room,2023,4,Central Region,Bishan,128,42
1-room / 2-room,2023,4,East Region,Bedok,164,42
1-room / 2-room,2023,4,North East Region,Ang Mo Kio,171,43
1-room / 2-room,2023,4,West Region,Bukit Batok,163,30
1-room / 2-room,2023,5,Central Region,Bishan,120,44
1-room / 2-room,2023,5,East Region,Bedok,172,38
1-room / 2-room,2023,5,North East Region,Ang Mo Kio,188,41
1-room / 2-room,2023,5,West Region,Bukit Batok,170,28
1-room / 2-room,2023,6,Central Region,Bishan,180,30
1-room / 2-room,2023,6,East Region,Bedok,185,36
1-room / 2-room,2023,6,North East Region,Ang Mo Kio,201,42
1-room / 2-room,2023,6,West Region,Bukit Batok,195,28
1-room / 2-room,2023,7,Central Region,Bishan,148,34
1-room / 2-room,2023,7,East Region,Bedok,179,40
1-room / 2-room,2023,7,North East Region,Ang Mo Kio,195,39
1-room / 2-room,2023,7,West Region,Bukit Batok,168,27
1-room / 2-room,2023,8,Central Region,Bishan,146,44
1-room / 2-room,2023,8,East Region,Bedok,174,38
1-room / 2-room,2023,8,North East Region,Ang Mo Kio,198,42
1-room / 2-room,2023,8,West Region,Bukit Batok,178,29
1-room / 2-room,2023,9,Central Region,Bishan,152,54
1-room / 2-room,2023,9,East Region,Bedok,172,40
1-room / 2-room,2023,9,North East Region,Ang Mo Kio,183,40
1-room / 2-room,2023,9,West Region,Bukit Batok,176,28
1-room / 2-room,2023,10,Central Region,Bishan,152,46
1-room / 2-room,2023,10,East Region,Bedok,177,34
1-room / 2-room,2023,10,North East Region,Ang Mo Kio,196,41
1-room / 2-room,2023,10,West Region,Bukit Batok,186,27
1-room / 2-room,2023,11,Central Region,Bishan,153,47
1-room / 2-room,2023,11,East Region,Bedok,172,38
1-room / 2-room,2023,11,North East Region,Ang Mo Kio,192,40
1-room / 2-room,2023,11,West Region,Bukit Batok,172,28
1-room / 2-room,2023,12,Central Region,Bishan,134,45
1-room / 2-room,2023,12,East Region,Bedok,155,36
1-room / 2-room,2023,12,North East Region,Ang Mo Kio,174,38
1-room / 2-room,2023,12,West Region,Bukit Batok,155,28
1-room / 2-room,2024,1,Central Region,Bishan,142,4
1-room / 2-room,2024,1,Central Region,Bishan,142,47
1-room / 2-room,2024,1,Central Region,Bishan,13,4
1-room / 2-room,2024,1,Central Region,Bishan,13,47
1-room / 2-room,2024,1,East Region,Bedok,158,3
1-room / 2-room,2024,1,East Region,Bedok,158,38
1-room / 2-room,2024,1,East Region,Bedok,15,3
1-room / 2-room,2024,1,East Region,Bedok,15,38
1-room / 2-room,2024,1,North East Region,Ang Mo Kio,167,3
1-room / 2-room,2024,1,North East Region,Ang Mo Kio,167,40
1-room / 2-room,2024,1,North East Region,Ang Mo Kio,16,3
1-room / 2-room,2024,1,North East Region,Ang Mo Kio,16,40
1-room / 2-room,2024,1,West Region,Bukit Batok,154,2
1-room / 2-room,2024,1,West Region,Bukit Batok,154,29
1-room / 2-room,2024,1,West Region,Bukit Batok,15,2
1-room / 2-room,2024,1,West Region,Bukit Batok,15,29
1-room / 2-room,2024,2,Central Region,Bishan,129,56
1-room / 2-room,2024,2,East Region,Bedok,156,38
1-room / 2-room,2024,2,North East Region,Ang Mo Kio,175,42
1-room / 2-room,2024,2,West Region,Bukit Batok,164,31
1-room / 2-room,2024,3,Central Region,Bishan,147,49
1-room / 2-room,2024,3,East Region,Bedok,173,40
1-room / 2-room,2024,3,North East Region,Ang Mo Kio,170,40
1-room / 2-room,2024,3,West Region,Bukit Batok,162,29
1-room / 2-room,2024,4,Central Region,Bishan,184,42
1-room / 2-room,2024,4,East Region,Bedok,190,39
1-room / 2-room,2024,4,North East Region,Ang Mo Kio,208,43
1-room / 2-room,2024,4,West Region,Bukit Batok,199,40
1-room / 2-room,2024,5,Central Region,Bishan,160,48
1-room / 2-room,2024,5,East Region,Bedok,183,54
1-room / 2-room,2024,5,North East Region,Ang Mo Kio,195,42
1-room / 2-room,2024,5,West Region,Bukit Batok,182,25
1-room / 2-room,2024,6,Central Region,Bishan,179,39
1-room / 2-room,2024,6,East Region,Bedok,185,31
1-room / 2-room,2024,6,North East Region,Ang Mo Kio,202,41
1-room / 2-room,2024,6,West Region,Bukit Batok,188,26
3-room,2023,1,Central Region,Bishan,241,4
3-room,2023,1,Central Region,Bishan,241,54
3-room,2023,1,Central Region,Bishan,21,4
3-room,2023,1,Central Region,Bishan,21,54
3-room,2023,1,East Region,Bedok,246,5
3-room,2023,1,East Region,Bedok,246,56
3-room,2023,1,East Region,Bedok,22,5
3-room,2023,1,East Region,Bedok,22,56
3-room,2023,1,North East Region,Ang Mo Kio,241,4
3-room,2023,1,North East Region,Ang Mo Kio,241,52
3-room,2023,1,North East Region,Ang Mo Kio,22,4
3-room,2023,1,North East Region,Ang Mo Kio,22,52
3-room,2023,1,West Region,Bukit Batok,245,4
3-room,2023,1,West Region,Bukit Batok,245,48
3-room,2023,1,West Region,Bukit Batok,22,4
3-room,2023,1,West Region,Bukit Batok,22,48
3-room,2023,2,Central Region,Bishan,214,45
3-room,2023,2,East Region,Bedok,228,56
3-room,2023,2,North East Region,Ang Mo Kio,232,54
3-room,2023,2,West Region,Bukit Batok,241,52
3-room,2023,3,Central Region,Bishan,193,46
3-room,2023,3,East Region,Bedok,218,55
3-room,2023,3,North East Region,Ang Mo Kio,226,55
3-room,2023,3,West Region,Bukit Batok,225,50
3-room,2023,4,Central Region,Bishan,236,49
3-room,2023,4,East Region,Bedok,258,59
3-room,2023,4,North East Region,Ang Mo Kio,258,57
3-room,2023,4,West Region,Bukit Batok,268,52
3-room,2023,5,Central Region,Bishan,285,48
3-room,2023,5,East Region,Bedok,285,55
3-room,2023,5,North East Region,Ang Mo Kio,286,52
3-room,2023,5,West Region,Bukit Batok,285,50
3-room,2023,6,Central Region,Bishan,269,48
3-room,2023,6,East Region,Bedok,301,54
3-room,2023,6,North East Region,Ang Mo Kio,301,51
3-room,2023,6,West Region,Bukit Batok,298,43
3-room,2023,7,Central Region,Bishan,263,45
3-room,2023,7,East Region,Bedok,287,55
3-room,2023,7,North East Region,Ang Mo Kio,294,54
3-room,2023,7,West Region,Bukit Batok,272,44
3-room,2023,8,Central Region,Bishan,266,48
3-room,2023,8,East Region,Bedok,278,56
3-room,2023,8,North East Region,Ang Mo Kio,288,54
3-room,2023,8,West Region,Bukit Batok,286,47
3-room,2023,9,Central Region,Bishan,248,44
3-room,2023,9,East Region,Bedok,277,55
3-room,2023,9,North East Region,Ang Mo Kio,273,52
3-room,2023,9,West Region,Bukit Batok,284,49
3-room,2023,10,Central Region,Bishan,287,49
3-room,2023,10,East Region,Bedok,283,53
3-room,2023,10,North East Region,Ang Mo Kio,294,55
3-room,2023,10,West Region,Bukit Batok,293,49
3-room,2023,11,Central Region,Bishan,259,45
3-room,2023,11,East Region,Bedok,276,53
3-room,2023,11,North East Region,Ang Mo Kio,272,51
3-room,2023,11,West Region,Bukit Batok,270,48
3-room,2023,12,Central Region,Bishan,242,44
3-room,2023,12,East Region,Bedok,246,51
3-room,2023,12,North East Region,Ang Mo Kio,248,49
3-room,2023,12,West Region,Bukit Batok,247,46
3-room,2024,1,Central Region,Bishan,217,4
3-room,2024,1,Central Region,Bishan,217,42
3-room,2024,1,Central Region,Bishan,22,4
3-room,2024,1,Central Region,Bishan,22,42
3-room,2024,1,East Region,Bedok,243,5
3-room,2024,1,East Region,Bedok,243,54
3-room,2024,1,East Region,Bedok,23,5
3-room,2024,1,East Region,Bedok,23,54
3-room,2024,1,North East Region,Ang Mo Kio,237,4
3-room,2024,1,North East Region,Ang Mo Kio,237,51
3-room,2024,1,North East Region,Ang Mo Kio,23,4
3-room,2024,1,North East Region,Ang Mo Kio,23,51
3-room,2024,1,West Region,Bukit Batok,246,4
3-room,2024,1,West Region,Bukit Batok,246,47
3-room,2024,1,West Region,Bukit Batok,23,4
3-room,2024,1,West Region,Bukit Batok,23,47
3-room,2024,2,Central Region,Bishan,242,44
3-room,2024,2,East Region,Bedok,241,54
3-room,2024,2,North East Region,Ang Mo Kio,250,54
3-room,2024,2,West Region,Bukit Batok,262,53
3-room,2024,3,Central Region,Bishan,261,52
3-room,2024,3,East Region,Bedok,280,58
3-room,2024,3,North East Region,Ang Mo Kio,260,53
3-room,2024,3,West Region,Bukit Batok,262,46
3-room,2024,4,Central Region,Bishan,279,53
3-room,2024,4,East Region,Bedok,305,69
3-room,2024,4,North East Region,Ang Mo Kio,305,57
3-room,2024,4,West Region,Bukit Batok,312,70
3-room,2024,5,Central Region,Bishan,272,38
3-room,2024,5,East Region,Bedok,281,66
3-room,2024,5,North East Region,Ang Mo Kio,285,56
3-room,2024,5,West Region,Bukit Batok,289,49
3-room,2024,6,Central Region,Bishan,278,45
3-room,2024,6,East Region,Bedok,284,50
3-room,2024,6,North East Region,Ang Mo Kio,285,49
3-room,2024,6,West Region,Bukit Batok,286,45
4-room,2023,1,Central Region,Bishan,340,5
4-room,2023,1,Central Region,Bishan,340,63
4-room,2023,1,Central Region,Bishan,30,5
4-room,2023,1,Central Region,Bishan,30,63
4-room,2023,1,East Region,Bedok,332,6
4-room,2023,1,East Region,Bedok,332,67
4-room,2023,1,East Region,Bedok,30,6
4-room,2023,1,East Region,Bedok,30,67
4-room,2023,1,North East Region,Ang Mo Kio,313,6
4-room,2023,1,North East Region,Ang Mo Kio,313,66
4-room,2023,1,North East Region,Ang Mo Kio,29,6
4-room,2023,1,North East Region,Ang Mo Kio,29,66
4-room,2023,1,West Region,Bukit Batok,327,5
4-room,2023,1,West Region,Bukit Batok,327,54
4-room,2023,1,West Region,Bukit Batok,30,5
4-room,2023,1,West Region,Bukit Batok,30,54
4-room,2023,2,Central Region,Bishan,315,67
4-room,2023,2,East Region,Bedok,320,69
4-room,2023,2,North East Region,Ang Mo Kio,309,71
4-room,2023,2,West Region,Bukit Batok,332,61
4-room,2023,3,Central Region,Bishan,293,60
4-room,2023,3,East Region,Bedok,293,69
4-room,2023,3,North East Region,Ang Mo Kio,293,71
4-room,2023,3,West Region,Bukit Batok,309,63
4-room,2023,4,Central Region,Bishan,345,62
4-room,2023,4,East Region,Bedok,341,70
4-room,2023,4,North East Region,Ang Mo Kio,339,71
4-room,2023,4,West Region,Bukit Batok,355,61
4-room,2023,5,Central Region,Bishan,409,63
4-room,2023,5,East Region,Bedok,400,66
4-room,2023,5,North East Region,Ang Mo Kio,376,66
4-room,2023,5,West Region,Bukit Batok,388,56
4-room,2023,6,Central Region,Bishan,398,54
4-room,2023,6,East Region,Bedok,405,66
4-room,2023,6,North East Region,Ang Mo Kio,399,64
4-room,2023,6,West Region,Bukit Batok,407,56
4-room,2023,7,Central Region,Bishan,389,59
4-room,2023,7,East Region,Bedok,389,66
4-room,2023,7,North East Region,Ang Mo Kio,382,66
4-room,2023,7,West Region,Bukit Batok,370,55
4-room,2023,8,Central Region,Bishan,389,61
4-room,2023,8,East Region,Bedok,387,68
4-room,2023,8,North East Region,Ang Mo Kio,378,68
4-room,2023,8,West Region,Bukit Batok,388,57
4-room,2023,9,Central Region,Bishan,388,62
4-room,2023,9,East Region,Bedok,377,67
4-room,2023,9,North East Region,Ang Mo Kio,354,66
4-room,2023,9,West Region,Bukit Batok,385,58
4-room,2023,10,Central Region,Bishan,398,60
4-room,2023,10,East Region,Bedok,385,65
4-room,2023,10,North East Region,Ang Mo Kio,388,68
4-room,2023,10,West Region,Bukit Batok,394,56
4-room,2023,11,Central Region,Bishan,377,60
4-room,2023,11,East Region,Bedok,381,64
4-room,2023,11,North East Region,Ang Mo Kio,359,62
4-room,2023,11,West Region,Bukit Batok,369,57
4-room,2023,12,Central Region,Bishan,343,58
4-room,2023,12,East Region,Bedok,346,62
4-room,2023,12,North East Region,Ang Mo Kio,321,62
4-room,2023,12,West Region,Bukit Batok,335,54
4-room,2024,1,Central Region,Bishan,326,5
4-room,2024,1,Central Region,Bishan,326,60
4-room,2024,1,Central Region,Bishan,31,5
4-room,2024,1,Central Region,Bishan,31,60
4-room,2024,1,East Region,Bedok,317,6
4-room,2024,1,East Region,Bedok,317,64
4-room,2024,1,East Region,Bedok,31,6
4-room,2024,1,East Region,Bedok,31,64
4-room,2024,1,North East Region,Ang Mo Kio,313,6
4-room,2024,1,North East Region,Ang Mo Kio,313,65
4-room,2024,1,North East Region,Ang Mo Kio,30,6
4-room,2024,1,North East Region,Ang Mo Kio,30,65
4-room,2024,1,West Region,Bukit Batok,334,5
4-room,2024,1,West Region,Bukit Batok,334,55
4-room,2024,1,West Region,Bukit Batok,31,5
4-room,2024,1,West Region,Bukit Batok,31,55
4-room,2024,2,Central Region,Bishan,336,63
4-room,2024,2,East Region,Bedok,334,66
4-room,2024,2,North East Region,Ang Mo Kio,330,71
4-room,2024,2,West Region,Bukit Batok,357,58
4-room,2024,3,Central Region,Bishan,366,63
4-room,2024,3,East Region,Bedok,390,73
4-room,2024,3,North East Region,Ang Mo Kio,339,69
4-room,2024,3,West Region,Bukit Batok,359,62
4-room,2024,4,Central Region,Bishan,403,61
4-room,2024,4,East Region,Bedok,409,76
4-room,2024,4,North East Region,Ang Mo Kio,405,72
4-room,2024,4,West Region,Bukit Batok,423,72
4-room,2024,5,Central Region,Bishan,402,59
4-room,2024,5,East Region,Bedok,384,82
4-room,2024,5,North East Region,Ang Mo Kio,374,69
4-room,2024,5,West Region,Bukit Batok,391,53
4-room,2024,6,Central Region,Bishan,395,52
4-room,2024,6,East Region,Bedok,390,61
4-room,2024,6,North East Region,Ang Mo Kio,379,63
4-room,2024,6,West Region,Bukit Batok,391,54
5-room and Executive,2023,1,Central Region,Bishan,417,6
5-room and Executive,2023,1,Central Region,Bishan,417,73
5-room and Executive,2023,1,Central Region,Bishan,37,6
5-room and Executive,2023,1,Central Region,Bishan,37,73
5-room and Executive,2023,1,East Region,Bedok,401,6
5-room and Executive,2023,1,East Region,Bedok,401,72
5-room and Executive,2023,1,East Region,Bedok,36,6
5-room and Executive,2023,1,East Region,Bedok,36,72
5-room and Executive,2023,1,North East Region,Ang Mo Kio,375,6
5-room and Executive,2023,1,North East Region,Ang Mo Kio,375,70
5-room and Executive,2023,1,North East Region,Ang Mo Kio,35,6
5-room and Executive,2023,1,North East Region,Ang Mo Kio,35,70
5-room and Executive,2023,1,West Region,Bukit Batok,387,6
5-room and Executive,2023,1,West Region,Bukit Batok,387,64
5-room and Executive,2023,1,West Region,Bukit Batok,36,6
5-room and Executive,2023,1,West Region,Bukit Batok,36,64
5-room and Executive,2023,2,Central Region,Bishan,388,78
5-room and Executive,2023,2,East Region,Bedok,389,75
5-room and Executive,2023,2,North East Region,Ang Mo Kio,373,75
5-room and Executive,2023,2,West Region,Bukit Batok,399,73
5-room and Executive,2023,3,Central Region,Bishan,361,72
5-room and Executive,2023,3,East Region,Bedok,355,74
5-room and Executive,2023,3,North East Region,Ang Mo Kio,352,79
5-room and Executive,2023,3,West Region,Bukit Batok,374,75
5-room and Executive,2023,4,Central Region,Bishan,417,74
5-room and Executive,2023,4,East Region,Bedok,414,76
5-room and Executive,2023,4,North East Region,Ang Mo Kio,408,77
5-room and Executive,2023,4,West Region,Bukit Batok,426,73
5-room and Executive,2023,5,Central Region,Bishan,490,74
5-room and Executive,2023,5,East Region,Bedok,481,70
5-room and Executive,2023,5,North East Region,Ang Mo Kio,453,70
5-room and Executive,2023,5,West Region,Bukit Batok,468,67
5-room and Executive,2023,6,Central Region,Bishan,490,63
5-room and Executive,2023,6,East Region,Bedok,489,71
5-room and Executive,2023,6,North East Region,Ang Mo Kio,479,66
5-room and Executive,2023,6,West Region,Bukit Batok,484,66
5-room and Executive,2023,7,Central Region,Bishan,472,68
5-room and Executive,2023,7,East Region,Bedok,465,70
5-room and Executive,2023,7,North East Region,Ang Mo Kio,460,68
5-room and Executive,2023,7,West Region,Bukit Batok,447,66
5-room and Executive,2023,8,Central Region,Bishan,476,74
5-room and Executive,2023,8,East Region,Bedok,466,73
5-room and Executive,2023,8,North East Region,Ang Mo Kio,457,73
5-room and Executive,2023,8,West Region,Bukit Batok,464,68
5-room and Executive,2023,9,Central Region,Bishan,474,73
5-room and Executive,2023,9,East Region,Bedok,448,72
5-room and Executive,2023,9,North East Region,Ang Mo Kio,430,70
5-room and Executive,2023,9,West Region,Bukit Batok,458,70
5-room and Executive,2023,10,Central Region,Bishan,481,71
5-room and Executive,2023,10,East Region,Bedok,468,71
5-room and Executive,2023,10,North East Region,Ang Mo Kio,467,73
5-room and Executive,2023,10,West Region,Bukit Batok,475,68
5-room and Executive,2023,11,Central Region,Bishan,460,70
5-room and Executive,2023,11,East Region,Bedok,458,70
5-room and Executive,2023,11,North East Region,Ang Mo Kio,431,67
5-room and Executive,2023,11,West Region,Bukit Batok,447,71
5-room and Executive,2023,12,Central Region,Bishan,414,68
5-room and Executive,2023,12,East Region,Bedok,408,67
5-room and Executive,2023,12,North East Region,Ang Mo Kio,389,66
5-room and Executive,2023,12,West Region,Bukit Batok,400,64
5-room and Executive,2024,1,Central Region,Bishan,403,6
5-room and Executive,2024,1,Central Region,Bishan,403,70
5-room and Executive,2024,1,Central Region,Bishan,38,6
5-room and Executive,2024,1,Central Region,Bishan,38,70
5-room and Executive,2024,1,East Region,Bedok,384,6
5-room and Executive,2024,1,East Region,Bedok,384,68
5-room and Executive,2024,1,East Region,Bedok,37,6
